Attribute,Metrics category,Agent-Oriented Metrics,Approach,Source,Source link
Belief and value,"Bias, fairness, ethics metrics",Exaggeration (normalized average cosine similarity),Automatic,CoMPosT: Characterizing and Evaluating Caricature in LLM Simulations,https://arxiv.org/abs/2310.11501
Belief and value,"Bias, fairness, ethics metrics",Individuation (classification accuracy),Automatic,CoMPosT: Characterizing and Evaluating Caricature in LLM Simulations,https://arxiv.org/abs/2310.11501
Belief and value,"Bias, fairness, ethics metrics","Bias (performance disparity, prevalence, magnitude, variation, attitude shift)",Automatic,Bias Runs Deep: Implicit Reasoning Biases in Persona-Assigned LLMs,https://arxiv.org/abs/2311.04892
Belief and value,"Bias, fairness, ethics metrics","Bias (performance disparity, prevalence, magnitude, variation, attitude shift)",Automatic,Systematic Biases in LLM Simulations of Debates,https://arxiv.org/pdf/2402.04049
Demographic information,"Bias, fairness, ethics metrics",Exaggeration (normalized average cosine similarity),Automatic,CoMPosT: Characterizing and Evaluating Caricature in LLM Simulations,https://arxiv.org/abs/2310.11501
Demographic information,"Bias, fairness, ethics metrics",Individuation (classification accuracy),Automatic,CoMPosT: Characterizing and Evaluating Caricature in LLM Simulations,https://arxiv.org/abs/2310.11501
Demographic information,"Bias, fairness, ethics metrics","Bias (performance disparity, prevalence, magnitude, variation, attitude shift)",Automatic,Bias Runs Deep: Implicit Reasoning Biases in Persona-Assigned LLMs,https://arxiv.org/abs/2311.04892
Demographic information,"Bias, fairness, ethics metrics","Bias (performance disparity, prevalence, magnitude, variation, attitude shift)",Automatic,SAUCE: Synchronous and Asynchronous User-Customizable Environment for Multi-Agent LLM Interaction,https://arxiv.org/abs/2411.03397
Demographic information,"Bias, fairness, ethics metrics","Bias (performance disparity, prevalence, magnitude, variation, attitude shift)",Automatic,Systematic Biases in LLM Simulations of Debates,https://arxiv.org/pdf/2402.04049
Demographic information,"Bias, fairness, ethics metrics",Message toxicity,Automatic,On LLM Wizards: Identifying Large Language Models’ Behaviors for Wizard of Oz Experiments,https://arxiv.org/pdf/2407.08067
Activity history,Content and textual metrics,Coherence,LLM,Schema-Guided Culture-Aware Complex Event Simulation with Multi-Agent Role-Play,https://aclanthology.org/2024.emnlp-demo.39.pdf
Activity history,Content and textual metrics,Clarity,Human,"An Empathy-Based Sandbox Approach to Bridge the Privacy Gap among Attitudes, Goals, Knowledge, and Behaviors",https://dl.acm.org/doi/10.1145/3613904.3642363
Activity history,Content and textual metrics,"Diversity of dialog (Shannon entropy, intra-remote-clique, inter-remote-clique, semantic similarity, longest common subsequence similarity)",Automatic,"CloChat: Understanding How People Customize, Interact, and Experience Personas in Large Language Models",https://dl.acm.org/doi/pdf/10.1145/3613904.3642472
Belief and value,Content and textual metrics,"Diversity of dialog (Shannon entropy, intra-remote-clique, inter-remote-clique, semantic similarity, longest common subsequence similarity)",Automatic,AgentGroupChat: An Interactive Group Chat Simulacra For Better Eliciting Emergent Behavior,https://arxiv.org/abs/2403.13433
Demographic information,Content and textual metrics,Coherence,LLM,Schema-Guided Culture-Aware Complex Event Simulation with Multi-Agent Role-Play,https://aclanthology.org/2024.emnlp-demo.39.pdf
Demographic information,Content and textual metrics,Attitudes (topic term frequency),Automatic,On LLM Wizards: Identifying Large Language Models’ Behaviors for Wizard of Oz Experiments,https://arxiv.org/pdf/2407.08067
Demographic information,Content and textual metrics,"Diversity of dialog (Shannon entropy, intra-remote-clique, inter-remote-clique, semantic similarity, longest common subsequence similarity)",Automatic,On LLM Wizards: Identifying Large Language Models’ Behaviors for Wizard of Oz Experiments,https://arxiv.org/pdf/2407.08067
Demographic information,Content and textual metrics,Clarity,Human,"An Empathy-Based Sandbox Approach to Bridge the Privacy Gap among Attitudes, Goals, Knowledge, and Behaviors",https://dl.acm.org/doi/10.1145/3613904.3642363
Demographic information,Content and textual metrics,"Diversity of dialog (Shannon entropy, intra-remote-clique, inter-remote-clique, semantic similarity, longest common subsequence similarity)",Automatic,"CloChat: Understanding How People Customize, Interact, and Experience Personas in Large Language Models",https://dl.acm.org/doi/pdf/10.1145/3613904.3642472
Demographic information,Content and textual metrics,"Linguistic complexity (utterance length, Kolmogorov complexity)",Automatic,Large language models are able to downplay their cognitive abilities to fit the persona they simulate,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0298522
Psychological traits,Content and textual metrics,"Text similarity (BLEU, ROUGE)",Automatic,PersLLM: A Personified Training Approach for Large Language Models,https://arxiv.org/pdf/2407.12393
Psychological traits,Content and textual metrics,Tone Alignment,LLM,PersLLM: A Personified Training Approach for Large Language Models,https://arxiv.org/pdf/2407.12393
Skills and expertise,Content and textual metrics,Coherence,LLM,Schema-Guided Culture-Aware Complex Event Simulation with Multi-Agent Role-Play,https://aclanthology.org/2024.emnlp-demo.39.pdf
Activity history,Content and textual metrics,Believability/Credibility(self-knowledge),Human,Generative Agents: Interactive Simulacra of Human Behavior,https://dl.acm.org/doi/abs/10.1145/3586183.3606763
Demographic information,Content and textual metrics,Believability/Credibility(self-knowledge),Human,Generative Agents: Interactive Simulacra of Human Behavior,https://dl.acm.org/doi/abs/10.1145/3586183.3606763
Activity history,External alignment metrics,Hallucination,LLM,Character-LLM: A Trainable Agent for Role-Playing,https://aclanthology.org/2023.emnlp-main.814v1.pdf
Activity history,External alignment metrics,Entailment,LLM,Schema-Guided Culture-Aware Complex Event Simulation with Multi-Agent Role-Play,https://aclanthology.org/2024.emnlp-demo.39.pdf
Activity history,External alignment metrics,Believability/Credibility(reactions),Human,Generative Agents: Interactive Simulacra of Human Behavior,https://dl.acm.org/doi/abs/10.1145/3586183.3606763
Demographic information,External alignment metrics,Entailment,LLM,Schema-Guided Culture-Aware Complex Event Simulation with Multi-Agent Role-Play,https://aclanthology.org/2024.emnlp-demo.39.pdf
Demographic information,External alignment metrics,Believability/Credibility(reactions),Human,Generative Agents: Interactive Simulacra of Human Behavior,https://dl.acm.org/doi/abs/10.1145/3586183.3606763
Psychological traits,External alignment metrics,Fact Accuracy,LLM,PersLLM: A Personified Training Approach for Large Language Models,https://arxiv.org/pdf/2407.12393
Skills and expertise,External alignment metrics,Hallucination,LLM,Character-LLM: A Trainable Agent for Role-Playing,https://aclanthology.org/2023.emnlp-main.814v1.pdf
Skills and expertise,External alignment metrics,Entailment,LLM,Schema-Guided Culture-Aware Complex Event Simulation with Multi-Agent Role-Play,https://aclanthology.org/2024.emnlp-demo.39.pdf
Activity history,Internal consistency metrics,"Believability/Credibility(memory, plans)",Human,Generative Agents: Interactive Simulacra of Human Behavior,https://dl.acm.org/doi/abs/10.1145/3586183.3606763
Demographic information,Internal consistency metrics,"Believability/Credibility(memory, plans)",Human,Generative Agents: Interactive Simulacra of Human Behavior,https://dl.acm.org/doi/abs/10.1145/3586183.3606763
Activity history,Internal consistency metrics,Stability,LLM,Character-LLM: A Trainable Agent for Role-Playing,https://aclanthology.org/2023.emnlp-main.814v1.pdf
Activity history,Internal consistency metrics,Consistency of information,Human,"An Empathy-Based Sandbox Approach to Bridge the Privacy Gap among Attitudes, Goals, Knowledge, and Behaviors",https://dl.acm.org/doi/10.1145/3613904.3642363
Belief and value,Internal consistency metrics,Attitude shift ,LLM,Connecting the Dots: Collaborative Fine-tuning for Black-Box Vision-Language Models,https://arxiv.org/pdf/2402.04050
Demographic information,Internal consistency metrics,Stability,LLM,Character-LLM: A Trainable Agent for Role-Playing,https://aclanthology.org/2023.emnlp-main.814v1.pdf
Demographic information,Internal consistency metrics,Attitude shift ,LLM,SAUCE: Synchronous and Asynchronous User-Customizable Environment for Multi-Agent LLM Interaction,https://arxiv.org/abs/2411.03397
Demographic information,Internal consistency metrics,Attitude shift ,LLM,Systematic Biases in LLM Simulations of Debates,https://arxiv.org/pdf/2402.04049
Demographic information,Internal consistency metrics,"Behavior stability (mean, standard deviation)",Automatic,Intelligent Computing Social Modeling and Methodological Innovations inPolitical Science in the Era of Large Language Models,https://arxiv.org/pdf/2410.16301
Demographic information,Internal consistency metrics,Consistency of information,Human,"An Empathy-Based Sandbox Approach to Bridge the Privacy Gap among Attitudes, Goals, Knowledge, and Behaviors",https://dl.acm.org/doi/10.1145/3613904.3642363
Demographic information,Internal consistency metrics,Consistency of psychological state / personalities,Human,"An Empathy-Based Sandbox Approach to Bridge the Privacy Gap among Attitudes, Goals, Knowledge, and Behaviors",https://dl.acm.org/doi/10.1145/3613904.3642363
Demographic information,Internal consistency metrics,Consistency of information,Human,PersLLM: A Personified Training Approach for Large Language Models,https://arxiv.org/pdf/2407.12393
Psychological traits,Internal consistency metrics,Stability,LLM,Character-LLM: A Trainable Agent for Role-Playing,https://aclanthology.org/2023.emnlp-main.814v1.pdf
Psychological traits,Internal consistency metrics,Consistency of information,Human,PersLLM: A Personified Training Approach for Large Language Models,https://arxiv.org/pdf/2407.12393
Psychological traits,Internal consistency metrics,Consistency of psychological state / personalities,Human,PersLLM: A Personified Training Approach for Large Language Models,https://arxiv.org/pdf/2407.12393
Psychological traits,Internal consistency metrics,Consistency of information,Human,Digital Life Project: Autonomous 3D Characters with Social Intelligence,https://openaccess.thecvf.com/content/CVPR2024/html/Cai_Digital_Life_Project_Autonomous_3D_Characters_with_Social_Intelligence_CVPR_2024_paper.html
Psychological traits,Internal consistency metrics,Consistency of psychological state / personalities,Human,Digital Life Project: Autonomous 3D Characters with Social Intelligence,https://openaccess.thecvf.com/content/CVPR2024/html/Cai_Digital_Life_Project_Autonomous_3D_Characters_with_Social_Intelligence_CVPR_2024_paper.html
Skills and expertise,Internal consistency metrics,Stability,LLM,Character-LLM: A Trainable Agent for Role-Playing,https://aclanthology.org/2023.emnlp-main.814v1.pdf
Activity history,Performance metrics,Memorization,LLM,Character-LLM: A Trainable Agent for Role-Playing,https://aclanthology.org/2023.emnlp-main.814v1.pdf
Demographic information,Performance metrics,Memorization,LLM,Character-LLM: A Trainable Agent for Role-Playing,https://aclanthology.org/2023.emnlp-main.814v1.pdf
Demographic information,Performance metrics,Communication ability (win rates),Automatic,"RoleAgent: Building, Interacting, and Benchmarking High-quality Role-Playing Agents from Scripts",https://openreview.net/forum?id=hORTHzt2cE
Demographic information,Performance metrics,Reaction (accuracy),Automatic,"RoleAgent: Building, Interacting, and Benchmarking High-quality Role-Playing Agents from Scripts",https://openreview.net/forum?id=hORTHzt2cE
Demographic information,Performance metrics,Self-knowledge (accuracy),Automatic,"RoleAgent: Building, Interacting, and Benchmarking High-quality Role-Playing Agents from Scripts",https://openreview.net/forum?id=hORTHzt2cE
Activity history,Psychological metrics,Believability/Credibility(reflections),Human,Generative Agents: Interactive Simulacra of Human Behavior,https://dl.acm.org/doi/abs/10.1145/3586183.3606763
Demographic information,Psychological metrics,Believability/Credibility(reflections),Human,Generative Agents: Interactive Simulacra of Human Behavior,https://dl.acm.org/doi/abs/10.1145/3586183.3606763
Activity history,Psychological metrics,Empathy,Human,"An Empathy-Based Sandbox Approach to Bridge the Privacy Gap among Attitudes, Goals, Knowledge, and Behaviors",https://dl.acm.org/doi/10.1145/3613904.3642363
Belief and value,Psychological metrics,Value,LLM,Character-LLM: A Trainable Agent for Role-Playing,https://aclanthology.org/2023.emnlp-main.814v1.pdf
Demographic information,Psychological metrics,Personality consistency,Automatic,INCHARACTER: Evaluating Personality Fidelity in Role-Playing Agents through Psychological Interviews,https://aclanthology.org/2024.acl-long.102/
Demographic information,Psychological metrics,Measured alignment for personality,Human,INCHARACTER: Evaluating Personality Fidelity in Role-Playing Agents through Psychological Interviews,https://aclanthology.org/2024.acl-long.102/
Demographic information,Psychological metrics,Sentiment,Automatic,On LLM Wizards: Identifying Large Language Models’ Behaviors for Wizard of Oz Experiments,https://arxiv.org/pdf/2407.08067
Demographic information,Psychological metrics,Empathy,Human,"An Empathy-Based Sandbox Approach to Bridge the Privacy Gap among Attitudes, Goals, Knowledge, and Behaviors",https://dl.acm.org/doi/10.1145/3613904.3642363
Demographic information,Psychological metrics,"Belief (stability, evolution, correlation with behavior)",Automatic,"FairMindSim: Alignment of Behavior, Emotion, and Belief in Humans and LLM Agents Amid Ethical Dilemmas",https://arxiv.org/abs/2410.10398
Psychological traits,Psychological metrics,Personality,Automatic,Character-LLM: A Trainable Agent for Role-Playing,https://aclanthology.org/2023.emnlp-main.814v1.pdf
Psychological traits,Psychological metrics,"Belief (stability, evolution, correlation with behavior)",Automatic,"FairMindSim: Alignment of Behavior, Emotion, and Belief in Humans and LLM Agents Amid Ethical Dilemmas",https://arxiv.org/abs/2410.10398
Psychological traits,Psychological metrics,Emotion responses (entropy of valence and arousal),Automatic,"FairMindSim: Alignment of Behavior, Emotion, and Belief in Humans and LLM Agents Amid Ethical Dilemmas",https://arxiv.org/abs/2410.10398
Psychological traits,Psychological metrics,"Personality (Machine Personality Inventory, PsychoBench)",Automatic,Evaluating and inducing personality in pre-trained language models,https://proceedings.neurips.cc/paper_files/paper/2023/file/21f7b745f73ce0d1f9bcea7f40b1388e-Paper-Conference.pdf
Psychological traits,Psychological metrics,Personality (vignette tests),Human,Evaluating and inducing personality in pre-trained language models,https://proceedings.neurips.cc/paper_files/paper/2023/file/21f7b745f73ce0d1f9bcea7f40b1388e-Paper-Conference.pdf
Belief and value,Social and decision-making metrics,Social value orientation (SVO-based Value Rationality Measurement),Automatic,Heterogeneous Value Alignment Evaluation for Large Language Models,https://arxiv.org/abs/2305.17147